Sister,noun, a girl or woman who has one or both of the same parents as you
Herself,pronoun," that same woman, girl, or female animal:"
Soon,adverb, at a time that is not long from now
Nothing,pronoun, not anything  not a thing
Dear,adjective, loved or valued very much
Manner,noun,somewhat formal  the way that something is done or happens
Mother,noun, a female parent
Father,noun, a male parent
Daughter,noun, a female child
Letter,noun, any one of the marks that are symbols for speech sounds in written language and that form an alphabet
Lady,noun, a woman who behaves in a polite way
Himself,pronoun," that same man, boy, or male animal:"
Feeling,noun, an awareness by your body of something in it or on it
Hope,verb, to want something to happen or be true and think that it could happen or be true
Cannot,,used as the negative form of can
Marry,verb, to become the husband or wife of (someone)  to become joined with (someone) in marriage
Wish,verb, to want (something) to be true or to happen
Quite,adverb, to a very noticeable degree or extent
Myself,pronoun, the person who is speaking or writing:
Attention,noun," the act or power of carefully thinking about, listening to, or watching someone or something"
Pleasure,noun," a feeling of happiness, enjoyment, or satisfaction  a pleasant or pleasing feeling"
Cry,verb," to produce tears from your eyes often while making loud sounds because of pain, sorrow, or other strong emotions"
Till,preposition,
Heard,verb, to be aware of (sound) through the ear
Aunt,noun, the sister of your father or mother or the wife of your uncle
Whom,pronoun,used in formal writing or speech
Believe,verb, to accept or regard (something) as true
Morning,noun, the early part of the day  the time of day from sunrise until noon
Moment,noun, a very short period of time
Happy,adjective," feeling pleasure and enjoyment because of your life, situation, etc."
Brother,noun, a boy or man who has one or both of the same parents as you
Anything,pronoun, a thing of any kind
Evening,noun, the last part of the day and early part of the night
Opinion,noun," a belief, judgment, or way of thinking about something  what someone thinks about a particular thing"
Indeed,adverb, without any question
Therefore,adverb,somewhat formal  for that reason  because of that
Looked,verb, to direct your eyes in a particular direction
Ill,adjective, not well or healthy  sick or unhealthy
Hear,verb, to be aware of (sound) through the ear
Happiness,noun, the state of being happy
Toward,preposition, in the direction of (something or someone)
Uncle,noun, the brother of your father or mother or the husband of your aunt
Speak,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone  to talk to someone"
Character,noun," the way someone thinks, feels, and behaves  someone's personality"
Seemed,verb," to appear to be something or to do something  to have a quality, appearance, etc., that shows or suggests a particular characteristic, feeling, etc."
Nor,conjunction,used after a negative statement to introduce a related negative word or statement
Marriage,noun, the relationship that exists between a husband and a wife
Answer,noun, something you say or write when someone asks you a question
Hour,noun, one of the 24 equal parts of a day  60 minutes
Certainly,adverb, without doubt
Leave,verb, to go away from (a place)
Kind,noun, a group of people or things that belong together or have some shared quality  a particular type or variety of person or thing
Conversation,noun, an informal talk involving two people or a small group of people  the act of talking in an informal way
Affection,noun, a feeling of liking and caring for someone or something
Woman,noun, an adult female human being
Passed,verb, to move past someone or something
Mind,noun," the part of a person that thinks, reasons, feels, and remembers"
Coming,adjective, happening soon or next
Seeing,conjunction,used to explain the reason for a statement often + that or as
Immediately,adverb, with no person or thing in between
Cousin,noun, a child of your uncle or aunt
Whose,adjective,"used in questions to ask who owns something, has something, etc."
Almost,adverb, only a little less than
Reason,noun," a statement or fact that explains why something is the way it is, why someone does, thinks, or says something, or why someone behaves a certain way"
Rather,adverb, to some degree or extent
Object,noun, a thing that you can see and touch and that is not alive
Behaviour,noun, the way a person or animal acts or behaves
Walk,verb, to move with your legs at a speed that is slower than running
Husband,noun, a married man  the man someone is married to
Certain,adjective, not having any doubt about something  convinced or sure
Eyes,noun, the part of the body that you see with
Acquaintance,noun, someone who is known but who is not a close friend
Continued,adjective, lasting or happening for a long time without interruption
Yourself,pronoun, the person that is being addressed:
Idea,noun," a thought, plan, or suggestion about what to do"
Civility,noun," polite, reasonable, and respectful behavior"
Suppose,verb, to think of (something) as happening or being true in order to imagine what might happen
Spirit,noun," the force within a person that is believed to give the body life, energy, and power"
Settled,adjective, not likely to move or change
Regard,noun, care or concern for someone or something
Particular,adjective,used to indicate that one specific person or thing is being referred to and no others
Wife,noun, a married woman  the woman someone is married to
Perfectly,adverb, in every way
Occasion,noun, a special event or time
Hardly,adverb,
Satisfy,verb, to cause (someone) to be happy or pleased
Returned,verb, to come or go to a place again  to come back or go back again
Pride,noun, a feeling that you respect yourself and deserve to be respected by other people
Ought,verb,used to indicate what is expected
Agreeable,adjective,somewhat formal + old-fashioned  pleasing to the mind or senses
Walked,verb, to move with your legs at a speed that is slower than running
Longer,adjective, extending a great distance from one end to the other end  not short
Carriage,noun, a large vehicle with four wheels that is pulled by a horse and that carries people
Turned,verb, to move around a central point
Scarcely,adverb, almost not at all
Expected,verb, to think that something will probably or certainly happen
Door,noun," a movable piece of wood, glass, or metal that swings or slides open and shut so that people can enter or leave a room, building, vehicle, etc."
Ball,noun, a usually round object that is used in a game or sport or as a toy
Ladyship,noun,chiefly British used in addressing or referring to a woman who is a member of the nobility
Impossible,adjective, unable to be done or to happen  not possible
Wished,verb, to want (something) to be true or to happen
Rest,noun," the part that is left when other people or things are gone, used, etc."
Dare,verb, to have enough courage or confidence to do something  to not be too afraid to do something
Asked,verb, to say or write something to someone as a way of gaining information  to request an answer to a question
Talking,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone"
Officer,noun, a member of a police force
Gentleman,noun, a man who treats other people in a proper and polite way
Fortune,noun, a very large amount of money
Former,adjective,used to say what someone or something was in the past
Doubt,verb, to be uncertain about (something)  to believe that (something) may not be true or is unlikely
De,abbreviation,Delaware
Convinced,adjective, completely certain or sure about something
Assure,verb, to make (something) certain
Talked,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone"
Situation,noun," all of the facts, conditions, and events that affect someone or something at a particular time and in a particular place"
Seem,verb," to appear to be something or to do something  to have a quality, appearance, etc., that shows or suggests a particular characteristic, feeling, etc."
Pleased,adjective, happy or satisfied
Likely,adjective,used to indicate the chance that something will happen
Gentlemen,noun, a man who treats other people in a proper and polite way
Connection,noun, something that joins or connects two or more things
Wonder,noun," something or someone that is very surprising, beautiful, amazing, etc."
Matter,noun," something that is being done, talked about, or thought about"
Handsome,adjective, pleasing to look at especially of a person  having a pleasing appearance that causes romantic or sexual feelings in someone
Glad,adjective," feeling pleasure, joy, or delight"
Engaged,adjective, promised to be married
Dinner,noun, the main meal of the day
Believed,verb, to accept or regard (something) as true
Afraid,adjective, feeling fear: such as
Surprise,noun," an unexpected event, piece of information, etc."
Sense,noun," one of the five natural powers (touch, taste, smell, sight, and hearing) through which you receive information about the world around you"
Expect,verb, to think that something will probably or certainly happen
Entered,verb, to go or come into (something)
Compliment,noun, a remark that says something good about someone or something
Amiable,adjective, friendly and pleasant
Surprised,adjective, having or showing the feeling that people get when something unexpected or unusual happens  feeling or showing surprise
Saying,noun, an old and well-known phrase that expresses an idea that most people believe is true
Respect,noun," a feeling of admiring someone or something that is good, valuable, important, etc."
Relation,noun," the way in which two or more people, groups, countries, etc., talk to, behave toward, and deal with each other"
Invitation,noun, a written or spoken request for someone to go somewhere or to do something
Comfort,noun," a state or situation in which you are relaxed and do not have any physically unpleasant feelings caused by pain, heat, cold, etc."
Beyond,adverb, on or to the farther part or side
Wishes,verb, to want (something) to be true or to happen
Usual,adjective," done, found, or used most of the time or in most cases  normal or regular"
Thousand,noun," the number 1,000"
Themselves,pronoun," those same people, animals, or things:"
Sorry,adjective, feeling sorrow or regret
Silence,noun, a lack of sound or noise
Expression,noun," the act of making your thoughts, feelings, etc., known by speech, writing, or some other method  the act of expressing something"
Everybody,pronoun, every person
Deal,verb, to give cards to the players in a card game
Concern,noun, a feeling of worry usually shared by many people
Answered,verb, to say or write something when someone asks you a question  to give an answer to (a question)
Advantage,noun, something (such as a good position or condition) that helps to make someone or something better or more likely to succeed than others
Speaking,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone  to talk to someone"
Neither,adjective, not one or the other of two people or things
Fear,noun, an unpleasant emotion caused by being aware of danger  a feeling of being afraid
Appearance,noun,somewhat formal  the way that someone or something looks
Appear,verb,somewhat formal  to seem to be something  to make someone think that a person or thing has a particular characteristic
Sometimes,adverb, at certain times
Sensible,adjective, having or showing good sense or judgment
Particularly,adverb, more than usually
Pain,noun," the physical feeling caused by disease, injury, or something that hurts the body"
Merely,adverb,
Length,noun, the distance from one end of something to the other end  a measurement of how long something is
Fine,adjective," good, acceptable, or satisfactory"
Engagement,noun, an agreement to be married  the act of becoming engaged or the state of being engaged to be married
Determined,adjective, having a strong feeling that you are going to do something and that you will not allow anyone or anything to stop you
Dance,verb, to move your body in a way that goes with the rhythm and style of music that is being played
Consequence,noun, something that happens as a result of a particular action or set of conditions
Afterward,adverb, at a later time  after something has happened
Ten,noun, the number 10
Servant,noun, a person who is hired to do household or personal duties such as cleaning and cooking
Resolved,adjective, feeling strong determination to do something
Necessary,adjective, so important that you must do it or have it  absolutely needed
Instantly,adverb, without delay
Equal,adjective," the same in number, amount, degree, rank, or quality"
Consider,verb, to think about (something or someone) carefully especially in order to make a choice or decision
Appeared,verb,somewhat formal  to seem to be something  to make someone think that a person or thing has a particular characteristic
Understand,verb," to know the meaning of (something, such as the words that someone is saying or a language)"
Poor,adjective, having little money or few possessions  not having enough money for the basic things that people need to live properly
Opportunity,noun, an amount of time or a situation in which something can be done
Neighbourhood,noun, a section of a town or city
Mention,verb," to talk about, write about, or refer to (something or someone) especially in a brief way"
Master,noun, someone who has control or power over others: such as
Exactly,adverb,"used to stress that something is accurate, complete, or correct"
Countenance,noun,formal + literary  the appearance of a person's face  a person's expression
Arrival,noun, the act of coming to or reaching a place  the act of arriving
Alone,adjective, without anyone or anything else  not involving or including anyone or anything else  separate from other people or things
Younger,adjective," in an early stage of life, growth, or development  not yet old"
Smile,noun," an expression on your face that makes the corners of your mouth turn up and that shows happiness, amusement, pleasure, affection, etc."
Obliged,adjective,old-fashioned  very grateful
Kindness,noun, the quality or state of being kind
Forward,adverb, toward the front  to or toward what is ahead or in front
Astonishment,noun, a feeling of being very surprised
Whatever,pronoun, anything or everything that
Satisfaction,noun, a happy or pleased feeling because of something that you did or something that happened to you
Mentioned,verb," to talk about, write about, or refer to (something or someone) especially in a brief way"
Joined,verb, to put or bring (two or more things) together  to connect (two or more things)
Highly,adverb, to a great degree
Endeavour,verb,formal  to seriously or continually try to do (something)
Circumstances,noun, a condition or fact that affects a situation
Attachment,noun, an extra part that can be used with a machine to make it do a particular job
Feel,verb," to be aware of (something that affects you physically, such as pain, heat, or an object touching your body)"
Come,verb, to move toward someone or something
Begin,verb, to do the first part of an action  to start doing something
Know,verb, to have (information of some kind) in your mind
Perhaps,adverb, possibly but not certainly
Give,verb, to cause or allow someone to have (something) as a present  to make a present of (something)
Take,verb, to carry or move (something) to a place
Speak,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone  to talk to someone"
Meet,verb, to see and speak to (someone) for the first time  to be introduced to or become acquainted with (someone)
Lose,verb, to be unable to find (something or someone)
